"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","887073081090910","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","3fb1d1a6","3fb1d1a6","https://s.shopee.com.my/50RyQnFFjz",""
"2026-06-17","legacy-before-version-tracking","2443218232793711","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","982e2c69","982e2c69","https://s.shopee.com.my/20ozHMRyMc",""
"2026-06-17","legacy-before-version-tracking","974148761891014","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","44c007f4","44c007f4","https://s.shopee.com.my/40d5oJnPQn",""
"2026-06-17","legacy-before-version-tracking","1191566709744657","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","6b74a84","6b74a84","https://s.shopee.com.my/2g26QactWN",""
"2026-06-17","legacy-before-version-tracking","1660695841798002","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","5fd9ba24","5fd9ba24","https://s.shopee.com.my/4LFt4tRveT",""
"2026-06-17","legacy-before-version-tracking","1304615477777236","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","975f8870","975f8870","https://s.shopee.com.my/9UuVzRLZQ4",""
"2026-06-17","legacy-before-version-tracking","960009053305608","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","50636809","50636809","https://s.shopee.com.my/5finUvZxsw",""
"2026-06-17","legacy-before-version-tracking","2043762966244949","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","80cd508e","80cd508e","https://s.shopee.com.my/3fyOSgLTIk",""
"2026-06-17","legacy-before-version-tracking","1018878527138418","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","5461b2ab","5461b2ab","https://s.shopee.com.my/1Vrs3pluK4",""
"2026-06-17","legacy-before-version-tracking","841590838498539","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","3c233dd6","3c233dd6","https://s.shopee.com.my/2g4z4tpfBS",""
